Region,Year,Buildings,Industry,Land_Use_And_Forestry,Fuel_Combustion,Transport,Manufacturing_And_Construction,Fugitive_Emissions,Electricity_And_Heat,Annual CO₂ emissions (per capita),,,,,
Africa,1990,43130000,22770000,960360000,9180000,112300000,117369990,70380000,241970000,1.1259016,,,,,
Africa,1991,44239996,24380002,960360000,9690001,117560000,109810010,80090000,247780000,1.0334152,,,,,
Africa,1992,45270000,24760000,960360000,9670000,123369990,106540000,80540000,253550000,1.0520681,,,,,
Africa,1993,47690000,24400000,960360000,11870000,122450000,98890000,86689990,265970000,0.9953316,,,,,
Africa,1994,47670000,24900000,960340030,13000000,123950000,91250000,92789990,271810000,1.0287336,,,,,
Africa,1995,47840000,26910000,961050000,14080000,132970000,94330000,104300000,285050000,1.018657,,,,,
Africa,1996,48480000,27449998,961040000,14010000,138490000,102290000,119890000,292549980,1.0659539,,,,,
Africa,1997,50430000,27530000,961099970,13680000,147400020,106860000,108229990,309060000,1.0549282,,,,,
Africa,1998,49970000,28590000,961310000,15099999,147760000,108000000,101580000,323240000,1.067824,,,,,
Africa,1999,50670000,29720000,961709950,14730000,156060000,105110000,97910000,320419970,1.0746223,,,,,
Africa,2000,50930000,30910000,961789950,14150000,160080000,104030000,103270010,328429980,1.0395182,,,,,
Africa,2001,56730000,32430000,995650050,13250000,167480000,107770000,98680000,374500000,1.08272,,,,,
Africa,2002,60490000,34920000,995720000,12500000,175840000,109600000,82619990,385950000,1.0534089,,,,,
Africa,2003,62350000,35260000,995669950,12560000,186250000,113940000,91830000,403630000,1.0374798,,,,,
Africa,2004,64920000,38040000,995720000,14630000,194280000,120000000,88040000,435539970,1.0965167,,,,,
Africa,2005,69280000,41910000,995780030,18670000,198830000,134450000,85730000,440020000,1.1461436,,,,,
Africa,2006,71440000,45730000,995789950,21840000,203590000,133890000,79920000,448170020,1.1399391,,,,,
Africa,2007,79820000,49210000,995760000,23369998,214290000,135750000,70230000,462570020,1.1458483,,,,,
Africa,2008,85020010,51840000,995810000,22840000,228470000,134410000,70810000,500980000,1.1600198,,,,,
Africa,2009,85320000,58059996,995890000,25700000,237790000,145310000,66210000,468520000,1.1792897,,,,,
Africa,2010,67590000,59670000,995950000,29060000,258109980,139410000,69180000,522549980,1.1400827,,,,,
Africa,2011,71500000,58930000,1204090000,30170000,267870000,139150020,59630000,513450020,1.151617,,,,,
Africa,2012,83549990,63770000,1204310000,31740000,290260000,136090000,64879996,542740000,1.1562114,,,,,
Africa,2013,87479990,65690004,1204270100,29300000,315470000,147150000,61830000,547569900,1.1343586,,,,,
Africa,2014,89110000,70070000,1204220000,29130000,329090000,150230000,60530000,576160000,1.1133387,,,,,
Africa,2015,87580000,74070000,1204220000,28350000,332640000,145050000,60880000,568410000,1.1540987,,,,,
Africa,2016,86230000,77400000,1244330100,24210000,346180000,147290020,59600000,570539970,1.1025661,,,,,
Africa,2017,99760000,75920000,1244260000,26920000,348120000,150870000,59500000,578859970,1.1070576,,,,,
Africa,2018,95320000,77310000,1244220000,26440000,358660000,164150020,58930000,580820030,1.0923927,,,,,
Africa,2019,89100000,78270000,1244020000,27510000,364610020,154870000,60610000,604410000,1.055361,,,,,
Africa,2020,88580000,75850000,1244000000,25050000,334660000,145880000,54250000,549870000,1.1057414,,,,,
Asia,1990,772290000,221590000,113909970,370109980,771330050,1651160000,74630010,2132879900,2.035261,,,,,95123871.61
Asia,1991,772800000,245540020,113909970,382060000,800430000,1716170000,80740010,2252630000,2.0592098,,,,,
Asia,1992,759310000,282060000,113919976,380160000,836130000,1730899800,96150000,2409520000,2.2681482,,,,,
Asia,1993,780859970,312340000,113839976,365020000,889920000,1773960000,88640000,2594500000,2.182953,,,,,
Asia,1994,771940030,344259970,113780024,373520000,911620000,1835240000,81120000,2783370000,2.246513,,,,,
Asia,1995,850020030,373820000,114990030,324910000,967650050,2044699900,77920000,2940240000,2.3084388,,,,,
Asia,1996,814199940,391170000,24500038,261850000,1058569900,1937710000,86380000,3154280000,2.366076,,,,,
Asia,1997,873220000,409130020,665310100,312360000,1048589950,1939320000,96049990,3236270000,2.4254918,,,,,
Asia,1998,805550000,401149980,107660030,309919970,1031140030,1979200000,86850000,3311660000,2.423294,,,,,
Asia,1999,845030000,430440000,7559974.5,326240030,1075830000,1860119900,86830000,3430490000,2.3159568,,,,,
Asia,2000,823640000,455140000,47229996,263109980,1202640000,1917020000,95360000,3703370000,2.4097207,,,,,
Asia,2001,823660000,489159970,68450020,272840000,1230730000,1980400000,90510000,3845660200,2.4900038,,,,,
Asia,2002,853820000,512710000,304780000,277370000,1282530000,2040980000,89490000,4120280300,2.5006745,,,,,
Asia,2003,880390000,586610000,33749964,303199970,1335440000,2208470000,100979990,4548280000,2.6108491,,,,,
Asia,2004,941339970,611290000,305730000,320670000,1437339900,2608950000,97420000,4886640000,2.8309495,,,,,
Asia,2005,968500000,664440000,100350000,338020000,1486449900,3092940000,99000000,5152900000,2.9715598,,,,,
Asia,2006,992690000,735130000,394780060,349980000,1538830000,3322580000,101520010,5615839700,3.1476016,,,,,
Asia,2007,1018880000,798770050,31819972,352709980,1631440000,3588429800,92470000,6072300500,3.3191297,,,,,
Asia,2008,1023440000,825680060,41150000,361390000,1697800100,3742089700,94310000,6224179700,3.4544744,,,,,
Asia,2009,1016500000,895050000,261620000,362140000,1753590000,3942649900,92570000,6512659500,3.5946805,,,,,
Asia,2010,1055500000,966779970,29000016,368229980,1842500000,4331140000,88580000,7081890300,3.684339,,,,,
Asia,2011,1101100000,1054240000,129909960,353370000,1950020000,4560570000,93820000,7772739600,3.9186177,,,,,
Asia,2012,1094820000,1081290000,120459950,378930000,2085800100,4573070000,100930000,8146220000,4.158906,,,,,
Asia,2013,1120920000,1137900000,138070000,379610000,2179780000,4597800400,102470000,8509170000,4.2775507,,,,,
Asia,2014,1125630000,1183940000,126570010,377840000,2249379800,4664580000,106170000,8596431000,4.2886057,,,,,
Asia,2015,1160990000,1129840000,150260000,379190000,2358560000,4563889700,108110000,8511269400,4.321491,,,,,
Asia,2016,1195460000,1172300000,36290004,378050000,2408500000,4411289600,115510000,8693340000,4.3081627,,,,,
Asia,2017,1227360000,1193320100,70099970,375720000,2502990000,4343730000,113200000,9149839000,4.286941,,,,,
Asia,2018,1186890000,1255690000,74540010,353850020,2610510000,4463849500,108130010,9632950000,4.3631473,,,,,
Asia,2019,1156640000,1303010000,250640050,339880000,2608599800,4485200000,101870000,9837929000,4.4538226,,,,,
Asia,2020,1158040000,1324710000,49260004,334309980,2403840000,4515950000,101110000,9740120000,4.5150557,,,,,
China,1990,384680000,84510000,347280000,139450000,94150000,745200000,4392499,725360000,2.1717405,,,,,
China,1991,383269980,101300000,347280000,143840000,100620000,778830000,4392499,794330050,2.1538057,,,,,
China,1992,360020000,122400000,347280000,139090000,111100000,807800000,4392499,877750000,2.226241,,,,,
China,1993,370429980,142800000,347280000,145410000,125700000,861540000,1880000,997650050,2.306772,,,,,
China,1994,341370000,164400000,347280000,155580000,116350000,903380030,3760000,1082830000,2.443147,,,,,
China,1995,365700000,184600000,347240000,151320000,127370000,1070170050,3760000,1185700000,2.567743,,,,,
China,1996,313800000,192900000,347230000,89340000,169850000,968660000,5620000,1330330000,2.7565773,,,,,
China,1997,352620000,202900000,347230000,137760000,146130000,961130000,5460000,1328110000,2.8521018,,,,,
China,1998,298690020,211400000,347220000,148340000,140290000,1023820000,4159999.8,1409579900,2.8358095,,,,,
China,1999,305360000,228300000,347200000,153920000,157360000,871490000,4460000,1432760000,2.6951861,,,,,
China,2000,274120000,244400000,347190000,95500000,248480000,904050000,4770000,1575210000,2.829973,,,,,
China,2001,277730020,270800000,330070000,101500000,254250000,958840000,4820000,1661150100,2.8830526,,,,,
China,2002,283610000,282700000,330080000,111650000,276440000,996750000,4520000,1840480000,2.92576,,,,,
China,2003,308480000,353700000,330070000,129030000,313140000,1136150000,5220000,2178690000,3.2105358,,,,,
China,2004,352570020,368400000,330050000,141820000,371140000,1497940000,5230000,2376120000,3.7454772,,,,,
China,2005,365460000,411600000,330050000,156170000,397309980,1935750000,5630000,2552710000,4.0281363,,,,,
China,2006,384120000,470100000,330050000,160900000,434810000,2083310100,5570000,2898659800,4.5034957,,,,,
China,2007,398280000,515000000,330050000,160920000,468580000,2274400000,4920000,3171090200,4.941642,,,,,
China,2008,383250000,525900030,330040000,160460000,507070000,2409720000,4730000,3208470000,5.280773,,,,,
China,2009,391660000,583600000,330029980,165300000,517070000,2601240000,4540000,3455649800,5.6360073,,,,,
China,2010,416400000,639600000,330029980,169360000,568780000,2844070100,4730000,3831980000,5.889315,,,,,
China,2011,440720000,708600000,707970000,177540000,621890000,3004770000,4920000,4324110000,6.3912683,,,,,
China,2012,457220000,714800000,707970000,185940000,686130000,3042030000,3690000,4450730000,7.0212865,,,,,
China,2013,476570020,748299970,707979970,198480000,741090050,3068120000,3610000,4742950400,7.156126,,,,,
China,2014,486750000,778600000,707979970,197220000,770349950,3094690000,3980000,4689450000,7.235162,,,,,
China,2015,514850000,722000000,707979970,202030000,828460000,2994250000,3930000,4593759700,7.218232,,,,,
China,2016,523140000,743000000,647909950,201800000,845360000,2845899800,3710000,4698000000,7.079569,,,,,
China,2017,530050000,758200000,647909950,193310000,877820000,2691610000,2950000,5035330000,6.965584,,,,,
China,2018,492800000,786700000,647909950,171990000,947659970,2783730000,3450000,5380940000,7.0986867,,,,,
China,2019,457309980,826900030,647850000,159050000,939620000,2785930000,3820000,5590200300,7.306542,,,,,
China,2020,454380000,858200000,647850000,158390000,896130000,2887530000,5150000,5684900000,7.5541654,,,,,
Europe,1990,1076100000,98170000,610740000,261010020,1158450000,1236000000,6720000.5,3450870000,10.880137,,,856654843.2,,
Europe,1991,1090440000,90700000,610740000,252230020,1171290000,1137150100,7189999.5,3422510000,11.126495,,,,,
Europe,1992,979250000,132649990,610780000,186000000,1150830000,1042020030,51830000,3296429800,10.684244,,,,,
Europe,1993,987880000,119810000,610840000,214250000,1104449900,938690000,66059996,3079510000,9.775786,,,,,
Europe,1994,921920060,119150000,610930000,169610000,1074699900,884550000,81220000,2936050200,9.363284,,,,,
Europe,1995,912190000,120970000,610290050,169450000,1067670000,938000000,82540000,2870480000,8.860729,,,,,
Europe,1996,970890000,112820000,610709950,157650000,1085790100,905500000,76520010,2892930000,8.8288355,,,,,
Europe,1997,906299970,114930000,611010000,151660000,1091729900,886140000,72610000,2766720000,8.8913765,,,,,
